id,drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
82478,19123593,1545958,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82749,19049684,19049105,10,9551,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82753,19049686,19049105,10,9551,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82842,19123989,1154343,NA,NA,0.8300000000000001,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
83126,1353578,1353228,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83130,1710316,1703069,200,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83131,1710316,1710281,300,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83227,19124445,1436678,NA,NA,2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
83268,19089150,19024728,50,8576,NA,NA,NA,NA,NA,2016-10-03,2099-12-31,NA
83519,1548160,1548111,30,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83548,991764,990499,130,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83549,991764,991710,852,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83550,991764,19027362,155,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
83658,19125043,1580747,100,8576,NA,NA,NA,NA,NA,2006-12-17,2099-12-31,NA
83989,1346990,1346823,3.125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
84038,1549218,1549080,NA,NA,0.625,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84331,19125897,19008339,0.24000000000000002,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
84332,19125897,19095164,0.01,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
84397,19126023,908523,NA,NA,0.42500000000000004,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
84398,19126023,19033354,NA,NA,0.5680000000000001,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
84449,19126173,938268,NA,NA,1.76,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84481,19126251,734275,NA,NA,4,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84530,19126405,961047,NA,NA,15,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84610,19126581,975125,NA,NA,25,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84684,19126731,967823,NA,NA,6.5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84854,19127005,967823,NA,NA,30,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
84981,1344244,1343916,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
85257,1712912,1712889,400,8576,NA,NA,NA,NA,NA,2007-12-30,2099-12-31,NA
85480,1322189,1322184,300,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
85483,19127952,952004,800,8576,NA,NA,NA,NA,NA,2007-12-30,2099-12-31,NA
85485,19127954,952004,800,8576,NA,NA,NA,NA,NA,2007-12-30,2099-12-31,NA
85653,1513912,1513876,NA,NA,75,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
85654,1513912,1550023,NA,NA,25,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
85720,19128377,785788,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
85723,19128380,785788,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
86706,19129965,1756831,600,8576,NA,NA,NA,NA,NA,2006-08-27,2099-12-31,NA
86840,19130222,1379525,141,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
86841,19130222,1517824,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
87073,19058319,19058274,NA,NA,50,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
88623,19131009,19011773,4700,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
88624,19131009,986417,100000,8576,NA,NA,NA,NA,NA,2016-05-02,2099-12-31,NA
88625,19131009,901318,5900,8576,NA,NA,NA,NA,NA,2005-09-11,2099-12-31,NA
88626,19131009,939976,7500,8576,NA,NA,NA,NA,NA,2010-09-05,2099-12-31,NA
88627,19131009,19049105,1015,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
88628,19131009,967823,2690,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
88871,19131065,19000537,NA,NA,1.79,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88872,19131065,19006186,NA,NA,0.77,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88873,19131065,19006410,NA,NA,4.89,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88874,19131065,19006692,NA,NA,0.17,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88875,19131065,19007572,NA,NA,2.4699999999999998,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88876,19131065,19036781,NA,NA,0.004,9551,NA,8587,NA,1970-01-01,2099-12-31,NA
88877,19131065,19052489,NA,NA,8.8,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88878,19131065,1560524,NA,NA,50,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88879,19131065,962398,NA,NA,4.38,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88880,19131065,19069149,NA,NA,2.04,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88881,19131065,19076714,NA,NA,2.61,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88882,19131065,19077884,NA,NA,2.9699999999999998,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88883,19131065,19082306,NA,NA,2.55,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88884,19131065,19088571,NA,NA,3.11,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88885,19131065,19092377,NA,NA,2.4699999999999998,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88886,19131065,19092849,NA,NA,0.01,9551,NA,8587,NA,1970-01-01,2099-12-31,NA
88887,19131065,19004724,NA,NA,1.7,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88888,19131065,19035577,NA,NA,2.38,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88889,19131065,19052736,NA,NA,2.8899999999999997,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88890,19131065,19066774,NA,NA,2.13,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
88891,19131065,967823,NA,NA,0.013000000000000001,9551,NA,8587,NA,1970-01-01,2099-12-31,NA
89135,19131082,19000537,NA,NA,2.1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
89136,19131082,19006186,NA,NA,0.9,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
89137,19131082,19006410,NA,NA,5.75,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
89138,19131082,19006692,NA,NA,0.2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
